Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,2020-08-01,South Carolina
2,1,Ja'Marr Chase,LSU,WR,Washington,-3,35,2020-08-01,Louisiana
3,1,Justin Fields,Ohio State,QB,Carolina,+0,35,2020-08-01,Ohio
4,1,Gregory Rousseau,Miami (FL),EDGE,Cincinnati,+0,35,2020-08-01,Florida
5,1,Patrick Surtain II,Alabama,CB,NY Jets,-1,35,2020-08-01,Alabama
6,1,Penei Sewell,Oregon,OT,Detroit,+4,35,2020-08-01,Oregon
7,1,DeVonta Smith,Alabama,WR,NY Giants,-7,35,2020-08-01,Alabama
8,1,Alex Leatherwood,Alabama,OT,Miami,-1,35,2020-08-01,Alabama
9,1,Trey Lance,North Dakota State,QB,Chicago,-8,35,2020-08-01,North Dakota
10,1,Shaun Wade,Ohio State,CB,Cleveland,+3,35,2020-08-01,Ohio
11,1,Marvin Wilson,Florida State,DL3T,Las Vegas,+3,30,2020-08-01,Florida
12,1,Walker Little,Stanford,OT,Denver,+2,30,2020-08-01,California
13,1,Xavier Thomas,Clemson,EDGE,Atlanta,-12,30,2020-08-01,South Carolina
14,1,Carlos Basham Jr.,Wake Forest,DL5T,Arizona,+2,30,2020-08-01,North Carolina
15,1,Rashod Bateman,Minnesota,WR,LA Chargers,-3,30,2020-08-01,Minnesota
16,1,Jevon Holland,Oregon,S,Miami (Trade),-11,30,2020-08-01,Oregon
17,1,Travis Etienne,Clemson,RB,Jacksonville (Trade),-3,30,2020-08-01,South Carolina
18,1,Creed Humphrey,Oklahoma,OC,Pittsburgh,+7,30,2020-08-01,Oklahoma
19,1,Andre Cisco,Syracuse,S,Philadelphia,+6,30,2020-08-01,New York
20,1,Jalen Mayfield,Michigan,OT,Green Bay,-1,30,2020-08-01,Michigan
21,1,Wyatt Davis,Ohio State,OG,Tennessee,-3,25,2020-08-01,Ohio
22,1,Jaylen Twyman,Pitt,DL3T,Indianapolis,+3,25,2020-08-01,Pennsylvania
23,1,Micah Parsons,Penn State,ILB,Buffalo,+7,25,2020-08-01,Pennsylvania
24,1,Jaylen Waddle,Alabama,WRS,Minnesota,-6,25,2020-08-01,Alabama
25,1,Caden Sterns,Texas,S,Dallas,-18,25,2020-08-01,Texas
26,1,Quincy Roche,Miami (FL),EDGE,New England,-32,25,2020-08-01,Florida
27,1,Rondale Moore,Purdue,WRS,Tampa Bay,+12,25,2020-08-01,Indiana
28,1,Tyler Shelvin,LSU,DL1T,NY Jets (Trade),+5,25,2020-08-01,Louisiana
29,1,Dylan Moses,Alabama,OLB,New Orleans,+1,25,2020-08-01,Alabama
30,1,Deonte Brown,Alabama,OG,Baltimore,+4,25,2020-08-01,Alabama
31,1,Israel Mukuamu,South Carolina,CB,San Francisco,+9,25,2020-08-01,South Carolina
32,1,Samuel Cosmi,Texas,OT,Kansas City,-4,25,2020-08-01,Texas
33,2,Liam Eichenberg,Notre Dame,OT,Jacksonville,-9,20,2020-08-01,Indiana
34,2,Paulson Adebo,Stanford,CB,Washington,+3,20,2020-08-01,California
35,2,Thayer Munford,Ohio State,OT,Carolina,-12,20,2020-08-01,Ohio
36,2,Tyson Campbell,Georgia,CB,Cincinnati,+4,20,2020-08-01,Georgia
37,2,Hamilcar Rashed,Oregon State,EDGE,NY Jets,+2,20,2020-08-01,Oregon
38,2,Baron Browning,Ohio State,ILB,Detroit,-13,20,2020-08-01,Ohio
39,2,Jayson Oweh,Penn State,EDGE,NY Giants,-1,20,2020-08-01,Pennsylvania
40,2,Tedarrell Slaton,Florida,DL1T,Miami,+2,20,2020-08-01,Florida
41,2,Seth Williams,Auburn,WR,Chicago,-3,20,2020-08-01,Alabama
42,2,Richard LeCounte III,Georgia,S,Cleveland,+9,20,2020-08-01,Georgia
43,2,Richie Grant,UCF,S,Las Vegas,-27,20,2020-08-01,Florida
44,2,Josh Jobe,Alabama,CB,Denver,+3,20,2020-08-01,Alabama
45,2,Najee Harris,Alabama,RB,Atlanta,-1,20,2020-08-01,Alabama
46,2,Kyle Pitts,Florida,TE,Arizona,+12,20,2020-08-01,Florida
47,2,Patrick Jones II,Pitt,EDGE,LA Chargers,-5,20,2020-08-01,Pennsylvania
48,2,Cade Mays,Tennessee,OG,Miami (Trade),-1,20,2020-08-01,Tennessee
49,2,Jaycee Horn,South Carolina,CB,LA Rams,+4,15,2020-08-01,South Carolina
50,2,Brevin Jordan,Miami (FL),TE,Pittsburgh,-4,15,2020-08-01,Florida
51,2,Amon-Ra St. Brown,USC,WR,Philadelphia,-2,15,2020-08-01,California
52,2,Caleb Farley,Virginia Tech,CB,Green Bay,-32,15,2020-08-01,Virginia
53,2,Josh Myers,Ohio State,OC,Tennessee,+14,15,2020-08-01,Ohio
54,2,Alaric Jackson,Iowa,OT,Indianapolis,-1,15,2020-08-01,Iowa
55,2,Trey Smith,Tennessee,OG,Buffalo,+5,15,2020-08-01,Tennessee
56,2,Jay Tufele,USC,DL3T,Minnesota,-11,15,2020-08-01,California
57,2,Jordan Smith,UAB,EDGE,Dallas,-18,15,2020-08-01,Alabama
58,2,Brock Purdy,Iowa State,QB,New England,+29,15,2020-08-01,Iowa
59,2,Jamie Newman,Georgia,QB,Tampa Bay,+22,15,2020-08-01,Georgia
60,2,Jackson Carman,Clemson,OT,Seattle,+4,15,2020-08-01,South Carolina
61,2,Chuba Hubbard,Oklahoma State,RB,New Orleans,+13,15,2020-08-01,Oklahoma
62,2,Trey Hill,Georgia,OC,Baltimore,+3,15,2020-08-01,Georgia
63,2,Jimmy Morrissey,Pitt,OC,San Francisco,-11,15,2020-08-01,Pennsylvania
64,2,Marco Wilson,Florida,CB,Kansas City,+1,15,2020-08-01,Florida
65,3,Marlon Tuipulotu,USC,DL3T,Jacksonville,+8,10,2020-08-01,California
66,3,Hamsah Nasirildeen,Florida State,S,Washington,-10,10,2020-08-01,Florida
67,3,Tommy Kraemer,Notre Dame,OG,Carolina,+2,10,2020-08-01,Indiana
68,3,Sage Surratt,Wake Forest,WR,Cincinnati,+8,10,2020-08-01,North Carolina
69,3,Zamir White,Georgia,RB,NY Jets,+7,10,2020-08-01,Georgia
70,3,Jabril Cox,LSU,OLB,Detroit,-15,10,2020-08-01,Louisiana
71,3,Eric Stokes,Georgia,CB,NY Giants,-2,10,2020-08-01,Georgia
72,3,Tylan Wallace,Oklahoma State,WR,Miami,+6,10,2020-08-01,Oklahoma
73,3,Chris Olave,Ohio State,WR,Chicago,+1,10,2020-08-01,Ohio
74,3,Ben Cleveland,Georgia,OG,Cleveland,-6,10,2020-08-01,Georgia
75,3,Terrace Marshall,LSU,WR,Las Vegas,-7,10,2020-08-01,Louisiana
76,3,Donovan Stiner,Florida,S,Denver,-11,10,2020-08-01,Florida
77,3,Tutu Atwell,Louisville,WRS,Atlanta,-12,10,2020-08-01,Kentucky
78,3,Cole Van Lanen,Wisconsin,OT,Arizona,-13,10,2020-08-01,Wisconsin
79,3,Kevin Jarvis,Michigan State,OG,LA Chargers,-21,10,2020-08-01,Michigan
80,3,Pat Freiermuth,Penn State,TE,Houston,-6,10,2020-08-01,Pennsylvania
